date,release_no,title,entity_name,entity_type,entity_role,ticker,cik,tags,settled,ticker_resolved,resolution_method
2020-06-25,2020-144,SEC Charges Novartis AG with FCPA Violations,Alcon Inc.,company,defendant,ACL,1167379,"FCPA violations, books and records violations, internal accounting controls violations",True,ACL,original
2020-06-25,2020-144,SEC Charges Novartis AG with FCPA Violations,Novartis AG,company,defendant,NVS,1114448,"FCPA violations, books and records violations, internal accounting controls violations",True,NVS,original
2020-06-26,2020-146,Telegram to Return $1.2 Billion to Investors and Pay $18.5 Million Penalty to Settle SEC Charges,Telegram Group Inc.,company,defendant,TGRPQ,1037535,"unregistered offering, digital tokens, securities violation",True,TGRPQ,original
2020-07-02,2020-149,SEC Charges Alexion Pharmaceuticals With FCPA Violations,Alexion Pharmaceuticals Inc.,company,defendant,ALXN,899866,"FCPA violations, pharmaceuticals, books and records, internal accounting controls",True,ALXN,original
2020-08-10,2020-178,SEC Charges Interactive Brokers With Repeatedly Failing to File Suspicious Activity Reports,Interactive Brokers LLC,company,defendant,IBKR,1381197,"disclosure fraud, anti-money laundering",True,IBKR,original
2020-08-25,2020-190,SEC Charges Super Micro and Former CFO in Connection with Widespread Accounting Violations,"Super Micro Computer, Inc.",company,defendant,SMCI,1375365,"accounting violations, disclosure fraud",True,SMCI,original
2020-08-26,2020-195,SEC Charges BorgWarner for Materially Misstating its Financial Statements,BorgWarner Inc.,company,defendant,BWA,908255,"disclosure fraud, financial misstatement",True,BWA,original
2020-09-23,2020-218,"SEC Obtains Emergency Asset Freeze, Charges Ring of Microcap Stock Manipulators Targeting Retail Investors",ATG Inc.,company,defendant,ATGCQ,1054000,"market manipulation, fraud, microcap stocks",False,ATGCQ,original
2020-09-24,2020-221,SEC Charges Lighting Products Company and Four Executives With Accounting Violations,Revolution Lighting Technologies Inc.,company,defendant,RVLT,917523,"accounting fraud, disclosure fraud",True,RVLT,original
2020-09-24,2020-222,"Engine Manufacturing Company to Pay Penalty, Take Remedial Measures to Settle Charges of Accounting Fraud",Power Solutions International Inc.,company,defendant,PSIX,1137091,"accounting fraud, disclosure fraud",True,PSIX,original
2020-09-28,2020-226,"SEC Charges Companies, Former Executives as Part of Risk-Based Initiative",Interface Inc.,company,defendant,TILE,715787,"accounting violations, disclosure violations, earnings management",True,TILE,original
2020-09-29,2020-233,J.P. Morgan Securities Admits to Manipulative Trading in U.S. Treasuries,JPMorgan Chase & Co.,company,defendant,JPM,19617,"manipulative trading, fraud",True,JPM,original
2020-09-29,2020-237,SEC Charges Manitex International and Three Former Senior Executives With Accounting Fraud,"Manitex International, Inc.",company,defendant,MNTX,1302028,"accounting fraud, misstated financial statements",True,MNTX,original
2020-09-30,2020-238,Morgan Stanley Agrees to Pay $5 Million for Reg SHO Violations in Prime Brokerage Swaps Business,Morgan Stanley & Co. LLC,company,defendant,MS,895421,"Regulation SHO, short sales",True,MS,original
2020-09-30,2020-241,SEC Charges HP Inc. With Disclosure Violations and Control Failures,HP Inc.,company,defendant,HPQ,47217,"disclosure fraud, control failures",True,HPQ,original
2020-09-30,2020-242,SEC Charges Hospitality Company for Failing to Disclose Executive Perks,Hilton Worldwide Holdings Inc.,company,defendant,HLT,1585689,disclosure fraud,True,HLT,original
2020-10-08,2020-251,"SEC Charges Seismic Data Company, Former Executives With $100 Million Accounting Fraud",SAExploration Holdings Inc.,company,defendant,SAEXQ,1514732,"accounting fraud, securities fraud, misappropriation",False,SAEXQ,original
2020-10-15,2020-258,SEC Charges Andeavor for Inadequate Controls Around Authorization of Stock Buyback Plan,Andeavor LLC,company,defendant,ANDV,50104,"controls violations, stock buyback",True,ANDV,original
2020-10-22,2020-265,SEC Charges Goldman Sachs With FCPA Violations,The Goldman Sachs Group Inc.,company,defendant,GS,886982,"FCPA violations, bribery, disclosure fraud",True,GS,original
2020-11-13,2020-281,SEC Charges Former Wells Fargo Executives for Misleading Investors About Key Performance Metric,Wells Fargo & Co.,company,defendant,WFC,72971,"disclosure fraud, misleading investors",True,WFC,original
2020-11-13,2020-282,SEC Charges Investment Advisory Firms and Broker-Dealers in Connection with Sales of Complex Exchange-Traded Products,Summit Financial Group Inc.,company,defendant,SMMF,811808,"unsuitable sales, complex exchange-traded products, investment advisory, broker-dealer",True,SMMF,original
2020-12-02,2020-301,Energy Companies Agree to Settle Fraud Charges Stemming From Failed Nuclear Power Plant Expansion,SCANA Corp.,company,defendant,SCG,754737,"fraud, disclosure fraud",True,SCG,original
2020-12-04,2020-306,SEC Charges The Cheesecake Factory For Misleading  COVID-19 Disclosures,The Cheesecake Factory,company,defendant,CAKE,887596,"disclosure fraud, COVID-19",True,CAKE,original
2020-12-09,2020-312,General Electric Agrees to Pay $200 Million Penalty for Disclosure Violations,General Electric Co.,company,defendant,GE,40545,"disclosure violations, accounting controls, reporting violations",True,GE,original
2020-12-11,2020-315,SEC Charges Sequential Brands Group Inc. with Deceiving Investors by Failing to Timely Impair Goodwill,Sequential Brands Group Inc.,company,defendant,SQBGQ,1648428,"disclosure fraud, accounting fraud",False,SQBGQ,original
2020-12-16,2020-319,Luckin Coffee Agrees to Pay $180 Million Penalty to Settle Accounting Fraud Charges,Luckin Coffee Inc.,company,defendant,LKNCY,1767582,"accounting fraud, disclosure fraud",True,LKNCY,original
2021-02-26,2021-35,SEC Suspends Trading in Multiple Issuers Based on Social Media and Trading Activity,PTA Holdings Inc.,company,defendant,ATAHQ,898904,"trading suspension, social media influence, market manipulation",False,ATAHQ,original
2021-02-26,2021-35,SEC Suspends Trading in Multiple Issuers Based on Social Media and Trading Activity,International Power Group Ltd.,company,defendant,TWGP,1289592,"trading suspension, social media influence, market manipulation",False,TWGP,original
2021-02-26,2021-35,SEC Suspends Trading in Multiple Issuers Based on Social Media and Trading Activity,Green Energy Enterprises Inc.,company,defendant,EOSE,1805077,"trading suspension, social media influence, market manipulation",False,EOSE,original
2021-03-05,2021-43,SEC Charges AT&T and Three Executives with Selectively Providing Information to Wall Street Analysts,AT&T,company,defendant,T,732717,disclosure fraud,False,T,original
2021-04-29,2021-76,SEC Charges Eight Companies for Failure to Disclose Complete Information on Form NT,"Asta Funding, Inc.",company,defendant,ASFI,1001258,disclosure fraud,True,ASFI,original
2021-04-29,2021-76,SEC Charges Eight Companies for Failure to Disclose Complete Information on Form NT,"ShiftPixy, Inc.",company,defendant,PIXY,1675634,disclosure fraud,True,PIXY,original
2021-05-03,2021-78,SEC Charges Under Armour Inc. With Disclosure Failures,Under Armour Inc.,company,defendant,UAA,1336917,disclosure fraud,True,UAA,original
2021-06-17,2021-105,"SEC Charges Investment Advisers With Cherry-Picking, Obtains Asset Freeze",UCB Financial Services Limited,company,defendant,CBFV,1605301,"cherry-picking, fraud, investment fraud",False,CBFV,original
2021-06-25,2021-112,SEC Charges Amec Foster Wheeler Limited With FCPA Violations Related To Brazilian Bribery Scheme,Amec Foster Wheeler Limited,company,defendant,AMFW,1328798,"FCPA violations, bribery, disclosure fraud",True,AMFW,original
2021-07-13,2021-124,"SEC Charges SPAC, Sponsor, Merger Target, and CEOs for Misleading Disclosures Ahead of Proposed Business Combination",Momentus Inc.,company,defendant,MNTS,1781162,"misleading disclosures, SPAC, fraud",True,MNTS,original
2021-07-15,2021-127,SEC Charges Executives of Network Infrastructure Company With Accounting Fraud,FTE Networks Inc.,company,defendant,FTNW,1122063,"accounting fraud, misappropriation of funds, securities fraud",False,FTNW,original
2021-07-21,2021-133,"SEC Charges Retailer and Former CEO for Accounting, Reporting, and Control Failures",Tandy Leather Factory Inc.,company,defendant,TLF,909724,"accounting fraud, reporting failures, control failures",True,TLF,original
2021-08-13,2021-151,"SEC Obtains Emergency Relief, Charges Two Florida Companies and their Principal Officer with Operating a Ponzi Scheme",MJ Capital Funding LLC,company,defendant,PPX,1047459,"ponzi scheme, fraud, misappropriation",False,PPX,original
2021-08-16,2021-154,SEC Charges Pearson plc for Misleading Investors About Cyber Breach,Pearson plc,company,defendant,PSO,938323,"disclosure fraud, cybersecurity, data breach",True,PSO,original
2021-08-24,2021-162,SEC Charges Healthcare Services Company and CFO for Failing to Accurately Report Loss Contingencies as part of Continuing EPS Initiative,"Healthcare Services Group, Inc.",company,defendant,HCSG,731012,"disclosure fraud, accounting violations",True,HCSG,original
2021-09-03,2021-174,SEC Charges The Kraft Heinz Company and Two Former Executives for Engaging in Years-Long Accounting Scheme,The Kraft Heinz Company,company,defendant,KHC,1637459,"accounting fraud, financial misconduct, disclosure fraud",True,KHC,original
2021-09-24,2021-191,SEC Charges World's Largest Advertising Group with FCPA Violations,WPP plc,company,defendant,WPP,806968,"FCPA violations, anti-bribery, books and records, internal accounting controls",True,WPP,original
2021-10-19,2021-213,Credit Suisse to Pay Nearly $475 Million to U.S. and U.K. Authorities to Resolve Charges in Connection with Mozambican Bond Offerings,Credit Suisse Group AG,company,defendant,CS,1159510,"disclosure fraud, foreign corrupt practices, internal accounting controls",True,CS,original
2021-10-27,2021-216,Post-SPAC Music Streaming Company Reaches $38.8 Million Settlement in Ongoing Fraud Action,Akazoo S.A.,company,defendant,SONG,1767043,"fraud, SPAC, disclosure fraud",True,SONG,original
2021-11-22,2021-244,SEC Charges Oilfield Services Company and Former CEO With Failing to Disclose Executive Perks and Stock Pledges,ProPetro Holding Corp.,company,defendant,PUMP,1680247,disclosure fraud,True,PUMP,original
2021-12-06,2021-252,SEC Charges Dialysis Provider and Three Former Senior Executives with Revenue Manipulation Scheme,"American Renal Associates Holdings, Inc.",company,defendant,ARA,1498068,"revenue manipulation, financial reporting fraud, disclosure fraud",True,ARA,original
2021-12-29,2021-269,SEC Charges Financial Company and Its President with Engaging in Fraudulent Schemes to Boost Stock Price,Medallion Financial Corp.,company,defendant,MFIN,1000209,"fraud, disclosure fraud, touting",False,MFIN,original
2022-02-15,2022-27,SEC Charges 12 Additional Financial Firms for Failure to Meet Form CRS Obligations,"J.K. Financial Services, Inc.",company,defendant,CBFV,1605301,disclosure fraud,True,CBFV,original
2022-02-17,2022-30,Largest South Korean Telecommunications Co. Agrees to Pay the SEC to Settle FCPA Charges,KT Corporation,company,defendant,STAT,882365,"FCPA violation, improper payments, internal controls",True,STAT,original
2022-02-22,2022-31,SEC Charges Health Care Co. and Two Former Employees for Accounting Improprieties,Baxter International Inc.,company,defendant,BAX,10456,"accounting improprieties, disclosure fraud",True,BAX,original
2022-04-18,2022-64,"Atlanta-Based Pest Control Company, Former CFO Charged with Improper Earnings Management",Rollins Inc.,company,defendant,ROL,84839,"accounting violations, earnings management, disclosure violations",True,ROL,original
2022-04-20,2022-65,SEC Charges Stericycle with Bribery Schemes in Latin America,"Stericycle, Inc.",company,defendant,SRCL,861878,"bribery, FCPA, disclosure fraud",True,SRCL,original
2022-04-28,2022-72,SEC Charges Brazilian Mining Company with Misleading Investors about Safety Prior to Deadly Dam Collapse,Vale S.A.,company,defendant,VALE,917851,"disclosure fraud, environmental harm, ESG",False,VALE,original
2022-04-28,2022-73,Medley Management and Former Co-CEOs to Pay $10 Million Penalty for Misleading Investors and Clients,Medley Management,company,defendant,MDLY,1611110,"disclosure fraud, misleading investors",True,MDLY,original
2022-05-06,2022-81,SEC Halts Fraudulent Cryptomining and Trading Scheme,MCC International Corp.,company,defendant,ECC1,31660,"crypto, fraud, unregistered offerings",False,ECC1,original
2022-05-20,2022-85,SEC Charges Wells Fargo Advisors With Anti-Money Laundering Related Violations,Wells Fargo & Company,company,defendant,WFC,72971,"anti-money laundering, compliance failure",True,WFC,original
2022-05-31,2022-94,SEC Charges Company and Former CEO with Misleading Investors about Sale of  Covid-19 Test Kits,SCWorx Corp.,company,defendant,WORX,1674227,"disclosure fraud, COVID-19, misleading statements",True,WORX,original
2022-06-02,2022-98,SEC Charges Global Steel Pipe Manufacturer with Violating Foreign Corrupt Practices Act,Tenaris,company,defendant,TS,1190723,"foreign corrupt practices, bribery, internal accounting controls",True,TS,original
2022-06-07,2022-101,SEC Charges New Jersey Software Company and Senior Employees with Accounting-Related Misconduct,"Synchronoss Technologies, Inc.",company,defendant,SNCR,1131554,"accounting improprieties, fraud, misleading financial statements",True,SNCR,original
2022-06-13,2022-104,Schwab Subsidiaries Misled Robo-Adviser Clients about Absence of Hidden Fees,"Charles Schwab & Co., Inc.",company,defendant,SCHW,316709,disclosure fraud,True,SCHW,original
2022-07-20,2022-126,SEC Charges Tampa-Based Health Insurance Distributor and its Former CEO with Making False Statements to Investors,Benefytt Technologies,company,defendant,BFYT,1561387,disclosure fraud,True,BFYT,original
2022-08-03,2022-137,SEC Charges Surgical Implant Manufacturer Surgalign and Former Senior Executives with Accounting and Disclosure Fraud,"Surgalign Holdings, Inc.",company,defendant,SRGAQ,1760173,"accounting fraud, disclosure fraud",True,SRGAQ,original
2022-08-16,2022-146,SEC Charges Eagle Bancorp and Former CEO with Failing to Disclose Related Party Loans,"Eagle Bancorp, Inc.",company,defendant,EGBN,1050441,"disclosure fraud, negligence, false statements",True,EGBN,original
2022-09-12,2022-160,SEC Charges VMware with Misleading Investors by Obscuring Financial Performance,VMware Inc.,company,defendant,VMW,1124610,disclosure fraud,True,VMW,original
2022-09-21,2022-169,SEC Charges Cheetah Mobile’s CEO and its Former President with Insider Trading,Cheetah Mobile Inc.,company,defendant,CMCM,1597835,"insider trading, disclosure fraud",True,CMCM,original
2022-09-22,2022-170,Boeing to Pay $200 Million to Settle SEC Charges that it Misled Investors about the 737 MAX,The Boeing Company,company,defendant,BA,12927,disclosure fraud,True,BA,original
2022-09-23,2022-171,SEC Charges Compass Minerals for Misleading Investors about Its Operations at World’s Largest Underground Salt Mine,Compass Minerals International Inc.,company,defendant,CMP,1227654,"disclosure fraud, environmental violations",True,CMP,original
2022-09-27,2022-174,SEC Charges 16 Wall Street Firms with Widespread Recordkeeping Failures,Morgan Stanley & Co. LLC,company,defendant,MS,895421,"recordkeeping failures, compliance, securities laws",True,MS,original
2022-09-29,2022-179,Barclays Agrees to a $361 Million Settlement to Resolve SEC Charges Relating to Over-Issuances of Securities,Barclays PLC,company,defendant,BCS,312069,"unregistered securities, internal control failure",True,BCS,original
2022-10-21,2022-189,SEC Charges Mattel with Financial Misstatements and Former PwC Audit Partner with Improper Professional Conduct,Mattel Inc.,company,defendant,MAT,63276,"financial misstatements, improper professional conduct, auditor independence",True,MAT,original
2022-10-24,2022-191,SEC Charges Canadian Cannabis Company and Former Senior Executive with Accounting Fraud,Cronos Group Inc.,company,defendant,CRNS,919869,"accounting fraud, disclosure fraud",True,CRNS,original
2022-12-03,2022-214,ABB Settles SEC Charges That It Engaged in Bribery Scheme in South Africa,ABB Ltd,company,defendant,ABBNY,1091587,"bribery, FCPA violation",True,ABBNY,original
2022-12-05,2022-215,AT&T Settles SEC Charge of Selectively Disclosing Material Information to Wall St. Analysts,AT&T,company,defendant,T,732717,"disclosure fraud, Regulation FD",True,T,original
2022-12-19,2022-230,SEC Charges Honeywell with Bribery Schemes in Algeria and Brazil,Honeywell International Inc.,company,defendant,HON,773840,"bribery, FCPA violation",True,HON,original
2023-02-22,2023-36,"SEC Charges African Gold Acquisition Corp. with Internal Controls, Reporting, and Recordkeeping Failures",African Gold Acquisition Corp.,company,defendant,AGACF,1833909,"internal controls failure, reporting violations, recordkeeping violations, misappropriation of funds",True,AGACF,original
2023-03-02,2023-43,SEC Charges Global Transportation Company Greenbrier and Former CEO for Failing to Disclose Perks and Payments,The Greenbrier Companies Inc.,company,defendant,GBX,923120,disclosure fraud,True,GBX,original
2023-03-06,2023-46,SEC Charges Rio Tinto plc with Bribery Controls Failures,Rio Tinto plc,company,defendant,RIO,887028,"bribery, FCPA, internal controls failure",True,RIO,original
2023-03-09,2023-48,SEC Charges Software Company Blackbaud Inc. for Misleading Disclosures About Ransomware Attack That Impacted Charitable Donors,Blackbaud Inc.,company,defendant,BLKB,1280058,"disclosure fraud, cybersecurity",True,BLKB,original
2023-03-14,2023-49,SEC Charges IT Services Provider DXC Technology Co. for Misleading Non-GAAP Disclosures,DXC Technology Company,company,defendant,DXC,1688568,disclosure fraud,True,DXC,original
2023-03-28,2023-63,Brazilian Mining Company to Pay $55.9 Million to Settle Charges Related to Misleading Disclosures Prior to Deadly Dam Collapse,Vale S.A.,company,defendant,VALE,917851,"misleading disclosures, environmental, social, and governance (ESG)",True,VALE,original
2023-05-11,2023-92,Dutch Medical Supplier Philips to Pay More Than $62 Million to Settle FCPA Charges,Koninklijke Philips N.V.,company,defendant,PHG,313216,"FCPA violation, disclosure fraud",True,PHG,original
2023-06-05,2023-101,SEC Files 13 Charges Against Binance Entities and Founder Changpeng Zhao,Binance Holdings Ltd.,company,defendant,CNF,1733868,"unregistered exchanges, broker-dealers, clearing agencies, misrepresentation, crypto, securities law violations",False,CNF,original
2023-06-06,2023-102,"SEC Charges Coinbase for Operating as an Unregistered Securities Exchange, Broker, and Clearing Agency",Coinbase Global Inc.,company,defendant,COIN,1679788,"unregistered securities exchange, unregistered broker, unregistered clearing agency, unregistered securities offering, crypto",False,COIN,original
2023-06-20,2023-111,SEC Charges Stanley Black & Decker and Former Executive for Failures in Executive Perks Disclosure,Stanley Black & Decker Inc.,company,defendant,SWK,93556,disclosure fraud,True,SWK,original
2023-07-03,2023-126,"SEC Charges “Smart” Window Manufacturer, View Inc., with Failing to Disclose $28 Million Liability",View Inc.,company,defendant,VIEWQ,1811856,"disclosure fraud, negligence-based antifraud, proxy disclosure, reporting, books and records, internal accounting controls, disclosure controls",True,VIEWQ,original
2023-07-11,2023-128,SEC Charges Merrill Lynch and Parent Company for Failing to File Suspicious Activity Reports,Merrill Lynch,company,defendant,MER,65100,disclosure fraud,True,MER,original
2023-07-31,2023-143,SEC Charges Hex Founder Richard Heart with Misappropriating Millions of Dollars of Investor Funds from Unregistered Crypto Asset Securities Offerings that Raised more than $1 Billion,Hex,company,defendant,HEXO,1690947,"unregistered securities offerings, crypto, fraud",False,HEXO,original
2023-08-10,2023-151,Colombian Conglomerate Grupo Aval and Its Bank Subsidiary to Pay $40 Million to Settle FCPA Violations,Grupo Aval Acciones y Valores S.A.,company,defendant,AVAL,1504764,"FCPA violation, bribery, foreign corruption",True,AVAL,original
2023-08-25,2023-160,SEC Charges 3M with Foreign Corrupt Practices Act Violations Relating to China Subsidiary,3M Company,company,defendant,MMM,66740,"Foreign Corrupt Practices Act, books and records violations, internal controls violations",True,MMM,original
2023-09-05,2023-167,SEC Charges Private Equity Firm Prime Group for Inadequate Disclosure of Fees Paid to Affiliate,Prime Group Holdings LLC,company,defendant,PGHL,1966678,"disclosure fraud, conflict of interest",True,PGHL,original
2023-09-12,2023-176,SEC Charges Virtu for False and Misleading Disclosures Relating to Information Barriers,Virtu Financial Inc.,company,defendant,VIRT,1592386,"disclosure fraud, failure to safeguard information",False,VIRT,original
2023-09-18,2023-182,SEC Charges Lyft with Failure to Disclose Board Member’s Financial Interest in Private Shareholder’s Pre-IPO Stock Transaction,Lyft Inc.,company,defendant,LYFT,1759509,disclosure fraud,True,LYFT,original
2023-09-25,2023-195,SEC Charges GTT Communications for Disclosure Failures,"GTT Communications, Inc.",company,defendant,GTT,1315255,"disclosure failures, financial reporting, antifraud",True,GTT,original
2023-09-26,2023-200,SEC Charges Hydrogen Vehicle Co. Hyzon Motors and Two Former Executives for Misleading Investors,Hyzon Motors Inc.,company,defendant,HYZN,1716583,disclosure fraud,True,HYZN,original
2023-09-27,2023-201,SEC Charges Corporate Insiders for Failing to Timely Report Transactions and Holdings,Cumberland Pharmaceuticals Inc.,company,defendant,CPIX,1087294,disclosure fraud,True,CPIX,original
2023-09-27,2023-201,SEC Charges Corporate Insiders for Failing to Timely Report Transactions and Holdings,AgEagle Aerial Systems Inc.,company,defendant,UAVS,8504,disclosure fraud,True,UAVS,original
2023-09-27,2023-201,SEC Charges Corporate Insiders for Failing to Timely Report Transactions and Holdings,"SolarEdge Technologies, Inc.",company,defendant,SEDG,1419612,disclosure fraud,True,SEDG,original
2023-09-27,2023-201,SEC Charges Corporate Insiders for Failing to Timely Report Transactions and Holdings,"eXp World Holdings, Inc.",company,defendant,EXPI,1495932,disclosure fraud,True,EXPI,original
2023-09-28,2023-208,SEC Charges Electric Vehicle Co. for Misleading Revenue Projections Ahead of SPAC Merger,Spruce Power Holding Corporation,company,defendant,MPWR1,1047960,"disclosure fraud, SPAC",True,MPWR1,original
2023-09-28,2023-206,SEC Charges Clear Channel Outdoor with FCPA Violations Relating to China Subsidiary,Clear Channel Outdoor Holdings Inc.,company,defendant,CCO,1334978,"FCPA violations, bribery, disclosure fraud",True,CCO,original
2023-09-29,2023-210,SEC Charges Newell Brands and Former CEO for Misleading Investors About Sales Performance,Newell Brands Inc.,company,defendant,NWL,814453,"disclosure fraud, accounting fraud",True,NWL,original
2023-09-29,2023-212,SEC Charges 10 Firms with Widespread Recordkeeping Failures,Perella Weinberg Partners LP,company,defendant,PWP,1777835,"recordkeeping failures, compliance violations",True,PWP,original
2023-09-29,2023-212,SEC Charges 10 Firms with Widespread Recordkeeping Failures,Interactive Brokers LLC,company,defendant,IBKR,1381197,"recordkeeping failures, compliance violations",True,IBKR,original
2023-09-29,2023-212,SEC Charges 10 Firms with Widespread Recordkeeping Failures,Interactive Brokers Corp.,company,defendant,IBKR,1381197,"recordkeeping failures, compliance violations",True,IBKR,original
2023-11-02,2023-232,SEC Charges Royal Bank of Canada with Internal Accounting Controls Violations,Royal Bank of Canada,company,defendant,RY,1000275,"internal accounting controls, books and records violations",True,RY,original
2023-11-14,2023-235,Charter Communications to Pay $25 Million Penalty for Stock Buyback Controls Violations,Charter Communications Inc.,company,defendant,CHTR,1091667,"internal accounting controls, stock buybacks",True,CHTR,original
2023-12-19,2023-254,"SEC Charges Tingo Mobile Founder, Three Companies with Massive Fraud and Obtains Emergency Relief",Tingo Group Inc.,company,defendant,TIOG,854800,"fraud, financial misrepresentation, insider trading",False,TIOG,original
2023-12-19,2023-254,"SEC Charges Tingo Mobile Founder, Three Companies with Massive Fraud and Obtains Emergency Relief",Tingo International Holdings Inc.,company,defendant,KNTH,728478,"fraud, financial misrepresentation, insider trading",False,KNTH,original
